MCTS,Alpha-beta
1.500141382,17.7362709
1.484531403,14.0014534
1.484531403,11.04806781
1.468900204,7.891458988
1.453278065,11.25116301
1.437650919,5.860017538
1.531385422,6.703832388
1.531436443,1.562639952
1.375146151,0.703226566
1.390745401,0.187518597
1.359518051,0.031279325
1.20322752,0
0.859486818,
